sweepId,serverId,runId,t,load,phase,liveBullets,memoryMb,instanceCount
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,30.30360726,4000,steady,4000,562.109375,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,31.3042921,4000,steady,4000,562.1523438,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,32.31948329,4000,steady,4000,562.1523438,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,33.31978095,4000,steady,4000,562.1523438,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,34.33715132,4000,steady,4000,562.1523438,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,35.3379973,4000,steady,4000,562.1523438,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,36.35437912,4000,steady,3999,562.1523438,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,37.37010909,4000,steady,3999,562.1523438,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,38.37033208,4000,steady,3999,562.1523438,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,39.37116343,4000,steady,4000,562.1523438,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,40.37166525,4000,steady,4000,562.1523438,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,41.38568421,4000,steady,4000,562.1523438,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,42.38763615,4000,steady,4000,562.1523438,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,43.40536874,4000,steady,4000,562.1523438,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,44.42142292,4000,steady,4000,562.1523438,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,45.43881405,4000,steady,3999,562.1523438,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,46.4552497,4000,steady,4000,562.1523438,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,47.45735402,4000,steady,4000,562.1523438,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,48.47081352,4000,steady,4000,562.1640625,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,49.47117187,4000,steady,4000,562.1640625,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,50.48818943,4000,steady,4000,562.1640625,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,51.50300446,4000,steady,4000,562.1640625,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,52.50375362,4000,steady,4000,562.171875,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,53.52024783,4000,steady,4000,562.171875,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,54.52075872,4000,steady,4000,562.171875,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,55.5207969,4000,steady,4000,562.1757813,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,56.53695815,4000,steady,4000,562.1796875,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,57.55192952,4000,steady,4000,562.1796875,100876
